iter	Passed	Remaining
0	1	167
1	2	135
2	3	119
3	4	105
4	5	103
5	6	101
6	7	99
7	8	96
8	9	93
9	10	90
10	10	88
11	11	87
12	13	87
13	13	85
14	14	84
15	15	83
16	16	81
17	17	80
18	18	78
19	19	76
20	20	75
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	55	36
60	55	35
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	69	22
76	70	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	79	11
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
