iter	Passed	Remaining
0	2	2005
1	3	1995
2	5	1985
3	7	1922
4	9	1874
5	11	1882
6	13	1897
7	15	1861
8	16	1827
9	18	1829
10	20	1823
11	22	1825
12	23	1814
13	25	1796
14	27	1802
15	29	1805
16	30	1788
17	32	1774
18	34	1776
19	36	1771
20	37	1760
21	39	1756
22	41	1757
23	43	1757
24	45	1758
25	46	1749
26	48	1742
27	50	1744
28	51	1740
29	53	1735
30	55	1726
31	56	1714
32	58	1706
33	59	1693
34	61	1687
35	63	1688
36	64	1681
37	66	1681
38	67	1674
39	69	1674
40	71	1670
41	73	1671
42	74	1666
43	76	1651
44	77	1650
45	79	1650
46	81	1648
47	82	1645
48	84	1648
49	86	1648
50	88	1648
51	90	1643
52	91	1638
53	93	1638
54	95	1644
55	97	1645
56	99	1645
57	101	1645
58	102	1642
59	104	1639
60	106	1634
61	108	1636
62	110	1641
63	112	1642
64	114	1639
65	115	1638
66	118	1647
67	120	1652
68	122	1654
69	124	1654
70	126	1650
71	128	1650
72	129	1648
73	131	1645
74	133	1641
75	134	1638
76	136	1633
77	138	1635
78	140	1633
79	141	1632
80	143	1631
81	145	1629
82	146	1616
83	147	1613
84	151	1625
85	152	1625
86	154	1624
87	156	1624
88	158	1623
89	160	1621
90	161	1617
91	163	1610
92	164	1601
93	166	1604
94	168	1604
95	169	1597
96	171	1596
97	173	1594
98	175	1594
99	176	1592
100	178	1588
101	179	1579
102	181	1577
103	183	1577
104	184	1576
105	186	1575
106	188	1575
107	190	1572
108	192	1571
109	193	1566
110	195	1565
111	197	1563
112	198	1561
113	200	1559
114	202	1556
115	204	1555
116	205	1550
117	207	1551
118	208	1545
119	210	1544
120	212	1540
121	213	1538
122	215	1536
123	217	1535
124	219	1534
125	220	1532
126	222	1528
127	223	1523
128	225	1522
129	227	1519
130	228	1517
131	230	1515
132	232	1513
133	233	1511
134	235	1510
135	237	1509
136	239	1507
137	241	1505
138	242	1503
139	244	1500
140	245	1497
141	246	1491
142	248	1488
143	249	1486
144	251	1483
145	253	1482
146	255	1481
147	257	1480
148	259	1479
149	261	1480
150	263	1479
151	265	1479
152	266	1476
153	268	1475
154	270	1475
155	272	1474
156	274	1473
157	276	1471
158	277	1469
159	279	1466
160	280	1461
161	282	1459
162	284	1458
163	285	1457
164	287	1454
165	289	1453
166	290	1451
167	292	1449
168	294	1447
169	296	1445
170	297	1443
171	300	1446
172	302	1444
173	303	1441
174	305	1439
175	307	1437
176	308	1434
177	310	1433
178	312	1433
179	314	1431
180	316	1430
181	317	1429
182	320	1428
183	321	1426
184	323	1425
185	325	1422
186	326	1419
187	328	1417
188	330	1416
189	331	1414
190	333	1412
191	335	1410
192	336	1408
193	338	1405
194	339	1403
195	341	1401
196	343	1399
197	344	1397
198	346	1395
199	348	1393
200	349	1390
201	351	1388
202	353	1386
203	354	1384
204	356	1382
205	357	1379
206	360	1379
207	361	1377
208	363	1374
209	364	1372
210	366	1371
211	368	1369
212	369	1366
213	371	1364
214	373	1363
215	375	1362
216	376	1360
217	378	1357
218	379	1354
219	381	1352
220	383	1350
221	384	1348
222	386	1346
223	388	1345
224	390	1343
225	391	1342
226	393	1339
227	395	1338
228	396	1336
229	398	1334
230	400	1331
231	401	1330
232	403	1329
233	405	1327
234	407	1325
235	408	1323
236	410	1321
237	412	1319
238	413	1317
239	416	1318
240	418	1317
241	419	1315
242	421	1313
243	423	1311
244	425	1309
245	426	1307
246	428	1306
247	430	1304
248	432	1303
249	433	1300
250	435	1298
251	436	1296
252	438	1293
253	439	1291
254	441	1289
255	443	1287
256	444	1285
257	446	1283
258	448	1282
259	449	1280
260	451	1278
261	452	1275
262	454	1274
263	456	1271
264	457	1269
265	459	1268
266	461	1267
267	463	1265
268	464	1263
269	466	1261
270	468	1259
271	469	1257
272	471	1255
273	473	1253
274	474	1252
275	476	1249
276	477	1247
277	479	1245
278	481	1243
279	482	1241
280	484	1239
281	486	1237
282	488	1236
283	489	1233
284	491	1232
285	492	1230
286	494	1228
287	495	1226
288	497	1223
289	499	1221
290	500	1219
291	502	1217
292	503	1216
293	505	1213
294	507	1211
295	508	1209
296	510	1207
297	511	1205
298	513	1203
299	514	1201
300	516	1200
301	518	1198
302	520	1196
303	521	1194
304	523	1192
305	525	1190
306	526	1188
307	528	1186
308	529	1184
309	531	1183
310	533	1181
311	534	1179
312	536	1177
313	537	1175
314	539	1173
315	541	1171
316	542	1169
317	543	1166
318	545	1165
319	547	1163
320	548	1160
321	550	1158
322	551	1156
323	553	1154
324	555	1153
325	556	1151
326	558	1149
327	560	1147
328	561	1145
329	563	1144
330	565	1142
331	566	1140
332	568	1138
333	569	1136
334	571	1134
335	572	1132
336	574	1130
337	576	1128
338	577	1126
339	579	1124
340	581	1123
341	582	1121
342	584	1119
343	586	1117
344	587	1115
345	589	1114
346	591	1112
347	592	1110
348	593	1107
349	595	1105
350	596	1103
351	598	1102
352	600	1100
353	601	1098
354	603	1096
355	604	1094
356	606	1092
357	608	1090
358	609	1088
359	611	1086
360	612	1084
361	614	1082
362	615	1080
363	617	1078
364	619	1077
365	621	1075
366	622	1074
367	624	1072
368	625	1070
369	627	1068
370	628	1066
371	630	1064
372	632	1062
373	633	1061
374	635	1059
375	637	1057
376	638	1055
377	640	1054
378	642	1052
